conversation_name,num_chunks,avg_distance,median_distance,min_distance,max_distance
000ADFC5_RE_ Trial of services for vegoils,5,1.102400803565979,1.0582727193832397,1.048056721687317,1.1902695894241333
006294AE_DNEXT - Login Credentials,5,1.0101733684539795,1.0224711894989014,0.9497232437133789,1.0513917207717896
0095F447_RE_ [EXTERNAL] Re_ Arg Prod Evolution,5,0.8387320280075073,0.8656007647514343,0.6888229250907898,0.9090883135795593
00A3B072_RE_ Thursday call + Monthly call,5,1.4120872497558594,1.413515329360962,1.4022563695907593,1.4199504852294922
"00D3BE7F_RE_ Yearly view in tradeflow, _yearly_ chart shows",5,1.086886191368103,1.0854098796844482,1.0425453186035156,1.118988275527954
00E0493F_Re_ Excel addin bug,5,1.1307013034820557,1.1132678985595703,1.0807232856750488,1.1987916231155396
01189F80_Fw_ New Dnext accounts,5,1.1636988639831543,1.1661792993545532,1.1402475833892822,1.200502872467041
01860B19_RE_ DNEXT - DDGS Tradematrix,5,0.8679123163223267,0.9470919370651245,0.5644758343696594,0.9734397530555725
01F33CEE_Re_ Excel addin not working for uploading data,5,0.9799420356750488,0.9937132596969604,0.9025595188140869,1.0494123697280884
01F41484_RE_ access to remove data in a dataset,5,1.0552917957305907,1.0602049827575684,1.0049049854278564,1.0802628993988037
01F52CC8_RE_ Adecoagro - Dnext contract for your review,5,1.4035019397735595,1.4071249961853027,1.3597941398620605,1.4366248846054077
027D1452_Login Credentials,5,0.9702624082565308,0.9758581519126892,0.8877356648445129,1.0458042621612549
02B515E0_RE_ Login Credentials,5,1.0374162077903748,1.0492136478424072,0.949206531047821,1.0847830772399902
03A4A5BC_Custom calendar_ Calendar does not update to lates,5,1.146749770641327,1.1671568155288696,0.9764142632484436,1.248189926147461
03D3B57C_RE_ DCS-1430 wheat moisture index Argentina 2025 c,5,1.005177879333496,1.0300986766815186,0.9490146636962891,1.046568512916565
0423DBB1_RE_ Dataset share from greenleaf to dnexr,5,1.1107584238052368,1.1299042701721191,1.0388344526290894,1.1508610248565674
0456263A_RE_ Issue with email verification,5,1.21189124584198,1.2181966304779053,1.103785753250122,1.2789747714996338
0506AFA6_RE_ Request to Delete Incorrect Datasets,5,1.2765110969543456,1.2667975425720215,1.2595993280410767,1.2963533401489258
0535EF4D_DNEXT - Login Credentials,5,1.0363386631011964,1.0315815210342407,1.0227466821670532,1.0508382320404053
053A6C2B_Microsoft 365 security_ You have messages in quara,5,1.2190654039382935,1.2768268585205078,1.0940666198730469,1.3010932207107544
0587E135_Dadacomp Access,5,1.3123677968978882,1.2992533445358276,1.2862879037857056,1.3506591320037842
05AC8A64_Login Credentials,5,0.9629682660102844,0.9746058583259583,0.9081193804740906,1.0129153728485107
05B33827_RE_ Contracts Expiring Soon,5,1.3921837091445923,1.4183100461959839,1.2918955087661743,1.458051323890686
05F2B19B_RE_,5,1.4373329162597657,1.4463069438934326,1.4222065210342407,1.4479464292526245
0706E51B_DNEXT - Login Credentials,5,1.0459481239318849,1.0549871921539307,0.9582087993621826,1.097340703010559
073BD0D1_Microsoft 365 security_ You have messages in quara,5,1.046564507484436,1.0629968643188477,0.9992692470550537,1.0817747116088867
0753439B_RE_ CGC Scraping Error,5,1.053207516670227,1.0861525535583496,0.990498423576355,1.0957289934158325
08360532_RE_ Market updates mailinglist De Heus,5,1.4166174173355102,1.4229964017868042,1.3881142139434814,1.4360945224761963
0846648F_RE_ Do you have the NASS fats and oils dataset,5,0.8237296104431152,0.893648624420166,0.493585467338562,0.9264397621154785
086B474D_Re_ Eurostat Scraping Error,5,1.0499987125396728,1.0509157180786133,1.0018903017044067,1.0816683769226074
08EFB9C8_Pltaform users - QUADRA,5,1.3275528430938721,1.3055154085159302,1.3045767545700073,1.3792872428894043
09032A50_RE_ tradeflows not displaying forecasts in clients,5,0.9888499736785888,0.9919027090072632,0.9684755802154541,1.0050876140594482
0948E8EE_Re_ crush margin missing in calc,5,1.0492546439170838,1.1249561309814453,0.8001095652580261,1.1598395109176636
09C964C6_RE_ DCS-1561 RE_ Platform access - dnexr,5,0.8529308915138245,0.8740870356559753,0.7906280755996704,0.9085648059844971
0A07BD6F_Login Credentials,5,0.9702624082565308,0.9758581519126892,0.8877356648445129,1.0458042621612549
0A4D9AF2_Re_ Conab stats do not seem up to date,5,1.0664262533187867,1.0891225337982178,0.9292093515396118,1.1185932159423828
0A7E8F3E_RE_ combined feed grain trade flow (china),5,0.8911503314971924,0.9237169027328491,0.7511923909187317,0.9589477777481079
0AA9589E_RE_ Setup Env Neste,5,1.2703354835510254,1.2261384725570679,1.2110861539840698,1.3610877990722656
0AC08EEB_Re_ DCS-2017 Delete Unnecessary Tradematrix,5,1.1694416046142577,1.1589640378952026,1.1246707439422607,1.241976261138916
0B0F7327_RE_ CORN ARGY WEATHER UPDATE 10th September 2025,5,1.1967461824417114,1.2502045631408691,1.077784776687622,1.2560417652130127
0B131115_RE_ units in trade flow data,5,0.9533913016319275,1.0384443998336792,0.633736252784729,1.08431077003479
0CC2B888_RE_ Add Gyuri to BF environment,5,1.4681386709213258,1.4621528387069702,1.4214540719985962,1.518134593963623
0CCB7039_RE_ Dataset to be deleted,5,1.2486128568649293,1.2482761144638062,1.189929485321045,1.2826273441314697
0CF7D076_RE_ Corn Trade matrix _ Urgent,5,0.8598708927631378,0.9179508686065674,0.48108503222465515,1.0986409187316895
0D6D6A3C_Build Your EVM Chain for $599 – Free AI Chatbot In,5,1.4982795715332031,1.495219349861145,1.4601083993911743,1.543824553489685
0DB135EB_RE_ Contract - new client VAM - Vegoils,5,1.2424872159957885,1.2357869148254395,1.1919583082199097,1.283642053604126
